Date	Open	High	Low	Close 	Adj Close 	Volume
Apr 13, 2026	6,806.47	6,830.41	6,790.02	6,822.34	6,822.34	745,515,043
Apr 10, 2026	6,839.24	6,845.77	6,808.46	6,816.89	6,816.89	4,393,220,000
Apr 9, 2026	6,783.69	6,835.31	6,761.55	6,824.66	6,824.66	4,912,410,000
Apr 8, 2026	6,754.36	6,793.50	6,740.28	6,782.81	6,782.81	5,904,880,000
Apr 7, 2026	6,601.93	6,618.26	6,534.55	6,616.85	6,616.85	4,555,680,000
Apr 6, 2026	6,587.66	6,618.13	6,579.72	6,611.83	6,611.83	3,906,440,000
Apr 2, 2026	6,512.61	6,601.91	6,474.94	6,582.69	6,582.69	4,740,740,000
Apr 1, 2026	6,556.56	6,609.67	6,554.29	6,575.32	6,575.32	5,637,260,000
Mar 31, 2026	6,395.88	6,539.05	6,395.88	6,528.52	6,528.52	6,396,100,000
Mar 30, 2026	6,403.37	6,427.31	6,316.91	6,343.72	6,343.72	5,458,640,000
Mar 27, 2026	6,453.89	6,453.89	6,356.08	6,368.85	6,368.85	5,303,490,000
Mar 26, 2026	6,555.86	6,573.22	6,473.79	6,477.16	6,477.16	4,845,560,000
Mar 25, 2026	6,598.35	6,633.94	6,568.41	6,591.90	6,591.90	4,936,720,000
Mar 24, 2026	6,552.09	6,595.75	6,525.11	6,556.37	6,556.37	5,278,580,000
Mar 23, 2026	6,574.96	6,651.62	6,565.55	6,581.00	6,581.00	6,020,650,000
Mar 20, 2026	6,594.66	6,594.66	6,473.52	6,506.48	6,506.48	10,025,820,000
Mar 19, 2026	6,583.12	6,636.74	6,557.82	6,606.49	6,606.49	5,973,390,000
Mar 18, 2026	6,697.16	6,705.18	6,621.66	6,624.70	6,624.70	5,275,480,000
Mar 17, 2026	6,722.35	6,754.30	6,710.80	6,716.09	6,716.09	5,063,390,000
Mar 16, 2026	6,674.37	6,729.79	6,674.37	6,699.38	6,699.38	5,176,290,000
Mar 13, 2026	6,673.49	6,733.30	6,623.92	6,632.19	6,632.19	5,337,120,000
Mar 12, 2026	6,740.88	6,740.88	6,670.40	6,672.62	6,672.62	6,292,170,000
Mar 11, 2026	6,790.09	6,811.15	6,745.59	6,775.80	6,775.80	5,511,090,000
Mar 10, 2026	6,796.56	6,845.08	6,759.74	6,781.48	6,781.48	5,944,950,000
Mar 9, 2026	6,699.80	6,810.44	6,636.04	6,795.99	6,795.99	6,709,410,000
Mar 6, 2026	6,769.03	6,773.42	6,711.56	6,740.02	6,740.02	5,793,120,000
Mar 5, 2026	6,851.08	6,870.43	6,770.78	6,830.71	6,830.71	5,989,300,000
Mar 4, 2026	6,831.69	6,885.94	6,811.64	6,869.50	6,869.50	5,252,170,000
Mar 3, 2026	6,800.26	6,840.05	6,710.42	6,816.63	6,816.63	6,442,080,000
